node_id,account_age_days,balance_mean,balance_std,tx_count,is_fraud,tx_velocity_7d,fan_out_ratio,amount_entropy,risky_email,device_mobile,device_consistency,addr_entropy,d_gap_mean,card_network_risk,product_code_risk,international_flag,second_hop_fraud_rate,pagerank,in_out_ratio,reciprocity_score,ring_membership,ring_volume,community_fraud_rate,community_id
10004_visa_credit,1.7272727272727273,115.98181818181818,177.12673608567297,11,0,5,0.4166666666666667,0.8658566174572235,0.209090909090909,0.2727272727272727,0.8181818181818181,2.1867043459100244,0.6909090909090909,0.2999999999999999,0.2999999999999999,0.0,1.0,9.996543269479947e-05,0.9999999914438515,0.9230769230769231,300,2303924.541307989,0.0967741935483871,4
10005_american express_credit,0.0,200.0,0.0,3,0,3,0.25,0.0,0.6,0.0,0.6666666666666667,-0.0,0.0,0.2,0.6999999999999998,0.0,1.0,6.50267042310748e-05,0.0,0.0,0,0.0,0.0,60
10007_visa_debit,0.0,32.975,4.207285348059959,2,0,2,0.3333333333333333,1.0,0.2,0.0,0.5,-0.0,0.0,0.3,0.2,0.0,1.0,6.50267042310748e-05,0.0,0.0,0,0.0,0.0,61
10009_visa_debit,475.0,107.95,0.0,1,0,1,0.5,0.0,0.6,0.0,1.0,-0.0,341.0,0.3,0.1,0.0,1.0,6.50267042310748e-05,0.0,0.0,0,0.0,0.0,62
10010_visa_debit,0.0,100.0,0.0,1,0,1,0.5,0.0,0.3,0.0,0.0,-0.0,0.0,0.3,0.3,0.0,1.0,6.50267042310748e-05,0.0,0.0,0,0.0,0.0,63
10011_visa_debit,195.8181818181818,144.4227272727273,170.7982587200999,11,0,5,0.0833333333333333,1.6171895725927152,0.2545454545454545,0.0909090909090909,0.9090909090909092,-0.0,104.8181818181818,0.2999999999999999,0.1181818181818182,0.0,1.0,6.620732102648873e-05,0.9999999520383716,0.75,0,0.0,0.2169811320754717,2
10012_visa_debit,0.0,50.0,0.0,1,0,1,0.5,0.0,0.3,0.0,0.0,-0.0,0.0,0.3,0.3,0.0,1.0,6.50267042310748e-05,0.0,0.0,0,0.0,0.0,64
10015_mastercard_debit,0.0,171.0,0.0,1,0,1,0.5,0.0,0.6,0.0,1.0,-0.0,24.2,0.3,0.1,0.0,1.0,6.50267042310748e-05,0.0,0.0,0,0.0,0.0,65
10017_american express_credit,0.0,150.0,0.0,2,0,2,0.3333333333333333,0.0,0.6,0.0,0.5,-0.0,0.0,0.2,0.7,0.0,1.0,6.50267042310748e-05,0.0,0.0,0,0.0,0.0,66
10018_mastercard_debit,0.0,107.95,0.0,1,0,1,0.5,0.0,0.3,0.0,1.0,-0.0,0.0,0.3,0.1,0.0,1.0,6.50267042310748e-05,0.0,0.0,0,0.0,0.0,67
